date,day_of_the_month,day_of_the_year,year,hour_num,words,type
2015-08-25,25,237,2015,15.2,284,topDay
2015-08-25,25,237,2015,22.5,315,topDay
2015-08-25,25,237,2015,23.2,462,topDay
2015-08-25,25,237,2015,23.9,462,topDay
2015-08-25,26,238,2015,24,367,topDay
2015-08-25,26,238,2015,24.1,304,topDay
2015-08-25,26,238,2015,24.2,353,topDay
2015-08-25,26,238,2015,24.4,335,topDay
2015-08-25,26,238,2015,24.7,334,topDay
2015-08-25,26,238,2015,24.8,314,topDay
2015-08-25,25,237,2015,14.4,147,firstDay
2015-08-25,25,237,2015,14.5,57,firstDay
2015-08-25,25,237,2015,14.6,279,firstDay
2015-08-25,25,237,2015,14.7,83,firstDay
2015-08-25,25,237,2015,15.2,284,firstDay
2015-08-25,25,237,2015,15.4,209,firstDay
2015-08-25,25,237,2015,15.9,57,firstDay
2015-08-25,25,237,2015,16,30,firstDay
2015-08-25,25,237,2015,16.1,84,firstDay
2015-08-25,25,237,2015,16.2,73,firstDay
2015-08-25,25,237,2015,16.3,172,firstDay
2015-08-25,25,237,2015,16.4,115,firstDay
2015-08-25,25,237,2015,17.5,60,firstDay
2015-08-25,25,237,2015,17.6,36,firstDay
2015-08-25,25,237,2015,17.8,113,firstDay
2015-08-25,25,237,2015,19.6,144,firstDay
2015-08-25,25,237,2015,21.4,119,firstDay
2015-08-25,25,237,2015,21.9,59,firstDay
2015-08-25,25,237,2015,22,250,firstDay
2015-08-25,25,237,2015,22.3,91,firstDay
2015-08-25,25,237,2015,22.4,92,firstDay
2015-08-25,25,237,2015,22.5,315,firstDay
2015-08-25,25,237,2015,22.6,77,firstDay
2015-08-25,25,237,2015,22.9,198,firstDay
2015-08-25,25,237,2015,23,211,firstDay
2015-08-25,25,237,2015,23.1,169,firstDay
2015-08-25,25,237,2015,23.2,462,firstDay
2015-08-25,25,237,2015,23.3,241,firstDay
2015-08-25,25,237,2015,23.4,36,firstDay
2015-08-25,25,237,2015,23.5,271,firstDay
2015-08-25,25,237,2015,23.6,176,firstDay
2015-08-25,25,237,2015,23.7,245,firstDay
2015-08-25,25,237,2015,23.8,126,firstDay
2015-08-25,25,237,2015,23.9,462,firstDay
2015-08-25,25,237,2015,24,73,firstDay
2015-08-25,26,238,2015,24,367,firstDay
2015-08-25,26,238,2015,24.1,304,firstDay
2015-08-25,26,238,2015,24.2,353,firstDay
2015-08-25,26,238,2015,24.3,120,firstDay
2015-08-25,26,238,2015,24.4,335,firstDay
2015-08-25,26,238,2015,24.5,199,firstDay
2015-08-25,26,238,2015,24.6,264,firstDay
2015-08-25,26,238,2015,24.7,334,firstDay
2015-08-25,26,238,2015,24.8,314,firstDay
